login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop
5,5,2,10,10,7,10,10,7,10,2,10,10,10,10,10,10,7.2,10,8.4,7.2,10,8.4,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
1,1,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5,2,1.4,1,drop
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
5,5,5,5,5,5,10,5,10,0,5,10,7,2,5,0,5,7,4.4,4.4,7,4.4,4.4,drop
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,2,2,2,drop
3,1,0,0,0,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,2,1,1.4,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
5,3,10,10,5,10,10,5,10,10,5,0,0,0,0,0,0,10,10,5,6,6,3,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
3,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,2,1,1,drop
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,10,10,7,2,2,1.4,drop
10,10,10,10,5,10,10,5,10,7,5,10,10,5,10,7,5,10,8.8,5,10,8.8,5,drop
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop
4,4,0,0,0,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,8,4,4,drop
5,5,5,5,5,10,7,5,10,7,7,10,7,7,10,10,7,9,7.2,6.2,9,7.2,6.2,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
5,5,10,7,7,10,7,5,10,7,7,7,7,5,10,5,5,9.4,6.6,5.8,9.4,6.6,5.8,no
5,5,10,5,5,10,7,5,10,10,5,10,10,5,10,10,7,10,8.4,5.4,10,8.4,5.4,no
4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,10,7,7,7,7,10,10,10,10,10,10,10,10,10,9.4,9.4,8.8,9.4,9.4,8.8,no
5,5,5,10,5,10,10,7,10,10,7,10,10,7,10,10,7,9,10,6.6,9,10,6.6,no
5,5,10,5,5,10,5,5,10,10,10,10,10,10,10,10,10,10,8,8,10,8,8,no
5,5,10,5,5,7,7,7,2,0,0,7,5,7,10,5,5,7.2,4.4,4.8,7.2,4.4,4.8,no
5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
